data_log_id,sub_area_code,x,y
7441,163,-72.58,40.44
46786,168,-72.28,40.48
7441,163,-72.58,40.44
46786,168,-72.28,40.48
7441,163,-72.58,40.44
7441,163,-72.58,40.44
46784,167,-72.28,40.48
46784,167,-72.28,40.48
46784,167,-72.28,40.48
46787,167,-72.28,40.48
46787,167,-72.28,40.48
46787,167,-72.28,40.48
51315,149,-71.5,41.6
51310,149,-71.5,41.6
41786,142,-73.1,41
41786,142,-73.1,41
47742,142,-73.1,41
32945,167,-72.28,40.48
47742,142,-73.1,41
32945,167,-72.28,40.48
32945,167,-72.28,40.48
33980,162,-73.49,40.32
33980,162,-73.49,40.32
41622,168,-72.28,40.48
32192,162,-73.37,40.34
41622,168,-72.28,40.48
32192,162,-73.37,40.34
32947,167,-72.28,40.48
16990,148,-72.8,41.5
32947,167,-72.28,40.48
39620,168,-72.28,40.4
16990,148,-72.8,41.5
39618,167,-72.28,40.48
11289,148,-71.58,41.5
39618,167,-72.28,40.48
11289,148,-71.58,41.5
39618,167,-72.28,40.48
11289,148,-71.58,41.5
51312,149,-71.5,41.6
11289,148,-71.58,41.5
11289,148,-71.58,41.5
11289,148,-71.58,41.5
11289,148,-71.58,41.5
11289,148,-71.58,41.5
8900,149,-71.5,41.5
8900,149,-71.5,41.5
8900,149,-71.5,41.5
11297,149,-71.53,41.13
47736,142,-73.1,41
11297,149,-71.53,41.13
47736,142,-73.1,41
11297,149,-71.53,41.13
11297,149,-71.53,41.13
47741,142,-73.1,41
11297,149,-71.53,41.13
47741,142,-73.1,41
11297,149,-71.53,41.13
11509,148,-71.57,41.5
32195,162,-73.49,40.32
11509,148,-71.57,41.5
32195,162,-73.49,40.32
11509,148,-71.57,41.5
32195,162,-73.49,40.32
11509,148,-71.57,41.5
11509,148,-71.57,41.5
32196,162,-73.49,40.32
11509,148,-71.57,41.5
11509,148,-71.57,41.5
32196,162,-73.49,40.32
11509,148,-71.57,41.5
34501,144,-72.45,41.4
8306,165,-72.45,40.45
18185,144,-72.45,41.4
34501,144,-72.45,41.4
34501,144,-72.45,41.4
18515,161,-72.54,40.42
51199,144,-72.45,41.4
6304,142,-73.1,41
51199,144,-72.45,41.4
15241,158,-74,40.32
34496,144,-72.45,41.4
10214,148,-72.16,41.6
34496,144,-72.45,41.4
9051,165,-72.28,40.52
34496,144,-72.45,41.4
14783,144,-72.45,41.4
33044,144,-72.45,41.4
14783,144,-72.45,41.4
33044,144,-72.45,41.4
13683,148,-72.16,41.6
48598,144,-72.41,41.4
48598,144,-72.41,41.4
48598,144,-72.41,41.4
31451,148,-72.16,41.6
31451,148,-72.16,41.6
41759,144,-72.45,41.4
31451,148,-72.16,41.6
31451,148,-72.16,41.6
6568,162,-73.37,40.34
31451,148,-72.16,41.6
